OBJECTID,GEO.id,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530_x,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_2530_y,dec_1000
232,1400000US51013100400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,4,18,33,359,378,234,0,7
233,1400000US51013100800,0,0,0,0,0,0,0,0,8,0,0,0,13,14,42,39,66,87,51,28,0,0,0,0
234,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,
237,1400000US51013101900,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,19,95,152,213,112,52,0,0
238,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,
241,1400000US51013103402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
242,,,,,,,,,,,,,,,,,,,,,,,,,
243,1400000US51510200103,0,0,0,0,0,0,9,0,10,0,9,9,0,0,8,0,112,161,26,31,8,13,0,0
244,,,,,,,,,,,,,,,,,,,,,,,,,
